i                       pLength                 angle                   xLength                 yLength                 xVec                    yVec                    
0                       3.999990000000000       -3.141592653589793      5.999980000000000       0.000000000000000       -3.999990000000000      -0.000000000000000      
1                       7.999990000000000       -3.141592653589793      11.999970000000001      0.000000000000001       -7.999990000000000      -0.000000000000001      
2                       11.999990000000000      -3.141592653589793      25.999960000000002      0.000000000000003       -11.999990000000000     -0.000000000000001      
3                       15.999990000000000      -3.141592653589793      39.999949999999998      0.000000000000005       -15.999990000000000     -0.000000000000002      
4                       19.999990000000000      -3.141592653589793      61.999939999999995      0.000000000000007       -19.999990000000000     -0.000000000000002      
5                       23.999990000000000      -3.141592653589793      83.999929999999992      0.000000000000010       -23.999990000000000     -0.000000000000003      
6                       27.999990000000000      -3.141592653589793      113.999919999999989     0.000000000000014       -27.999990000000000     -0.000000000000003      
7                       31.999990000000000      -3.141592653589793      143.999910000000000     0.000000000000018       -31.999990000000000     -0.000000000000004      
8                       35.999989999999997      -3.141592653589793      181.999899999999997     0.000000000000022       -35.999989999999997     -0.000000000000004      
9                       39.999989999999997      -3.141592653589793      219.999889999999994     0.000000000000027       -39.999989999999997     -0.000000000000005      
10                      43.999989999999997      -3.141592653589793      265.999879999999962     0.000000000000032       -43.999989999999997     -0.000000000000005      
11                      47.999989999999997      -3.141592653589793      311.999869999999987     0.000000000000038       -47.999989999999997     -0.000000000000006      
12                      51.999989999999997      -3.141592653589793      365.999860000000012     0.000000000000045       -51.999989999999997     -0.000000000000006      
13                      55.999989999999997      -3.141592653589793      419.999850000000038     0.000000000000051       -55.999989999999997     -0.000000000000007      
14                      59.999989999999997      -3.141592653589793      481.999840000000063     0.000000000000059       -59.999989999999997     -0.000000000000007      
15                      63.999989999999997      -3.141592653589793      543.999830000000088     0.000000000000067       -63.999989999999997     -0.000000000000008      
16                      67.999989999999997      -3.141592653589793      613.999820000000113     0.000000000000075       -67.999989999999997     -0.000000000000008      
17                      71.999989999999997      -3.141592653589793      683.999810000000139     0.000000000000084       -71.999989999999997     -0.000000000000009      
18                      75.999989999999997      -3.141592653589793      761.999800000000164     0.000000000000093       -75.999989999999997     -0.000000000000009      
19                      79.999989999999997      -3.141592653589793      839.999790000000189     0.000000000000103       -79.999989999999997     -0.000000000000010      
20                      83.999989999999997      -3.141592653589793      925.999780000000214     0.000000000000113       -83.999989999999997     -0.000000000000010      
21                      87.999989999999997      -3.141592653589793      1011.999770000000240    0.000000000000124       -87.999989999999997     -0.000000000000011      
22                      91.999989999999997      -3.141592653589793      1105.999760000000151    0.000000000000135       -91.999989999999997     -0.000000000000011      
23                      95.999989999999997      -3.141592653589793      1199.999750000000176    0.000000000000147       -95.999989999999997     -0.000000000000012      
